t, x, y, z, vx, vy, vz 
0, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
0.01, 2.0006461785e+01, 2.4974478348e-01, 1.9999239173e+01, 6.4617851844e-01, 2.4974478348e+01, -7.6082678752e-02
0.02, 2.0019379722e+01, 4.9908500566e-01, 1.9997715423e+01, 1.2917936654e+00, 2.4934022218e+01, -1.5237506838e-01
0.03, 2.0038744695e+01, 7.4787147796e-01, 1.9995426678e+01, 1.9364972679e+00, 2.4878647230e+01, -2.2887447374e-01
0.04, 2.0064544110e+01, 9.9595524748e-01, 1.9992370898e+01, 2.5799415334e+00, 2.4808376952e+01, -3.0557798470e-01
0.05, 2.0096761902e+01, 1.2431876764e+00, 1.9988546073e+01, 3.2217792381e+00, 2.4723242890e+01, -3.8248248245e-01
0.06, 2.0135378541e+01, 1.4894205211e+00, 1.9983950227e+01, 3.8616639143e+00, 2.4623284471e+01, -4.5958464599e-01
0.07, 2.0180371042e+01, 1.7345060113e+00, 1.9978581417e+01, 4.4992500376e+00, 2.4508549024e+01, -5.3688095889e-01
0.08, 2.0231712974e+01, 1.9782969290e+00, 1.9972437740e+01, 5.1341932124e+00, 2.4379091762e+01, -6.1436771616e-01
0.09, 2.0289374477e+01, 2.2206466864e+00, 1.9965517330e+01, 5.7661503581e+00, 2.4234975748e+01, -6.9204103127e-01
0.1, 2.0353322276e+01, 2.4614094051e+00, 1.9957818361e+01, 6.3947798925e+00, 2.4076271871e+01, -7.6989684327e-01
0.11, 2.0423519696e+01, 2.7004399932e+00, 1.9949339052e+01, 7.0197419157e+00, 2.3903058808e+01, -8.4793092395e-01
0.12, 2.0499926679e+01, 2.9375942231e+00, 1.9940077663e+01, 7.6406983922e+00, 2.3715422986e+01, -9.2613888511e-01
0.13, 2.0582499813e+01, 3.1727288085e+00, 1.9930032501e+01, 8.2573133318e+00, 2.3513458537e+01, -1.0045161858e+00
0.14, 2.0671192342e+01, 3.4057014810e+00, 1.9919201920e+01, 8.8692529694e+00, 2.3297267257e+01, -1.0830581393e+00
0.15, 2.0765954202e+01, 3.6363710665e+00, 1.9907584321e+01, 9.4761859435e+00, 2.3066958548e+01, -1.1617599210e+00
