t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
3.1250000000e-03, 2.0000000000e+01, 7.8125000000e-02, 2.0000000000e+01, 2.0471948668e-01, 2.5007959994e+01, -3.6460956462e-02
6.2500000000e-03, 2.0000639748e+01, 1.5627487498e-01, 1.9999886060e+01, 4.0949495183e-01, 2.5014433966e+01, -7.2901324246e-02
9.3750000000e-03, 2.0001919420e+01, 2.3444498112e-01, 1.9999658243e+01, 6.1431581733e-01, 2.5019421482e+01, -1.0932094577e-01
1.2500000000e-02, 2.0003839157e+01, 3.1263067326e-01, 1.9999316615e+01, 8.1917150137e-01, 2.5022922187e+01, -1.4571966480e-01
1.5625000000e-02, 2.0006399068e+01, 3.9082730509e-01, 1.9998861241e+01, 1.0240514190e+00, 2.5024935800e+01, -1.8209732643e-01
1.8750000000e-02, 2.0009599229e+01, 4.6903022946e-01, 1.9998292187e+01, 1.2289449827e+00, 2.5025462121e+01, -2.1845377703e-01
2.1875000000e-02, 2.0013439682e+01, 5.4723479859e-01, 1.9997609519e+01, 1.4338416028e+00, 2.5024501022e+01, -2.5478886430e-01
2.5000000000e-02, 2.0017920437e+01, 6.2543636429e-01, 1.9996813304e+01, 1.6387306883e+00, 2.5022052454e+01, -2.9110243718e-01
2.8125000000e-02, 2.0023041470e+01, 7.0363027820e-01, 1.9995903608e+01, 1.8436016470e+00, 2.5018116445e+01, -3.2739434589e-01
3.1250000000e-02, 2.0028802725e+01, 7.8181189210e-01, 1.9994880501e+01, 2.0484438867e+00, 2.5012693100e+01, -3.6366444185e-01
3.4375000000e-02, 2.0035204112e+01, 8.5997655803e-01, 1.9993744050e+01, 2.2532468148e+00, 2.5005782599e+01, -3.9991257775e-01
3.7500000000e-02, 2.0042245509e+01, 9.3811962865e-01, 1.9992494323e+01, 2.4579998400e+00, 2.4997385201e+01, -4.3613860744e-01
4.0625000000e-02, 2.0049926758e+01, 1.0162364574e+00, 1.9991131390e+01, 2.6626923717e+00, 2.4987501240e+01, -4.7234238597e-01
4.3750000000e-02, 2.0058247672e+01, 1.0943223988e+00, 1.9989655320e+01, 2.8673138213e+00, 2.4976131127e+01, -5.0852376958e-01
4.6875000000e-02, 2.0067208028e+01, 1.1723728086e+00, 1.9988066183e+01, 3.0718536027e+00, 2.4963275352e+01, -5.4468261563e-01
5.0000000000e-02, 2.0076807570e+01, 1.2503830440e+00, 1.9986364050e+01, 3.2763011325e+00, 2.4948934479e+01, -5.8081878263e-01
5.3125000000e-02, 2.0087046011e+01, 1.3283484643e+00, 1.9984548991e+01, 3.4806458308e+00, 2.4933109149e+01, -6.1693213022e-01
5.6250000000e-02, 2.0097923029e+01, 1.4062644304e+00, 1.9982621078e+01, 3.6848771216e+00, 2.4915800081e+01, -6.5302251914e-01
5.9375000000e-02, 2.0109438270e+01, 1.4841263056e+00, 1.9980580383e+01, 3.8889844335e+00, 2.4897008070e+01, -6.8908981119e-01
6.2500000000e-02, 2.0121591347e+01, 1.5619294558e+00, 1.9978426977e+01, 4.0929572002e+00, 2.4876733988e+01, -7.2513386926e-01
6.5625000000e-02, 2.0134381838e+01, 1.6396692496e+00, 1.9976160934e+01, 4.2967848611e+00, 2.4854978783e+01, -7.6115455731e-01
6.8750000000e-02, 2.0147809291e+01, 1.7173410583e+00, 1.9973782326e+01, 4.5004568616e+00, 2.4831743480e+01, -7.9715174030e-01
7.1875000000e-02, 2.0161873218e+01, 1.7949402566e+00, 1.9971291227e+01, 4.7039626540e+00, 2.4807029179e+01, -8.3312528424e-01
7.5000000000e-02, 2.0176573102e+01, 1.8724622228e+00, 1.9968687710e+01, 4.9072916979e+00, 2.4780837060e+01, -8.6907505613e-01
7.8125000000e-02, 2.0191908388e+01, 1.9499023386e+00, 1.9965971851e+01, 5.1104334604e+00, 2.4753168374e+01, -9.0500092396e-01
8.1250000000e-02, 2.0207878493e+01, 2.0272559898e+00, 1.9963143723e+01, 5.3133774174e+00, 2.4724024455e+01, -9.4090275671e-01
8.4375000000e-02, 2.0224482797e+01, 2.1045185662e+00, 1.9960203402e+01, 5.5161130536e+00, 2.4693406707e+01, -9.7678042429e-01
8.7500000000e-02, 2.0241720650e+01, 2.1816854622e+00, 1.9957150963e+01, 5.7186298630e+00, 2.4661316614e+01, -1.0126337976e+00
9.0625000000e-02, 2.0259591369e+01, 2.2587520766e+00, 1.9953986482e+01, 5.9209173499e+00, 2.4627755735e+01, -1.0484627483e+00
9.3750000000e-02, 2.0278094236e+01, 2.3357138133e+00, 1.9950710036e+01, 6.1229650288e+00, 2.4592725705e+01, -1.0842671493e+00
9.6875000000e-02, 2.0297228501e+01, 2.4125660811e+00, 1.9947321701e+01, 6.3247624257e+00, 2.4556228235e+01, -1.1200468741e+00
1.0000000000e-01, 2.0316993384e+01, 2.4893042943e+00, 1.9943821555e+01, 6.5262990781e+00, 2.4518265113e+01, -1.1558017971e+00
1.0312500000e-01, 2.0337388068e+01, 2.5659238728e+00, 1.9940209674e+01, 6.7275645357e+00, 2.4478838200e+01, -1.1915317937e+00
1.0625000000e-01, 2.0358411708e+01, 2.6424202422e+00, 1.9936486137e+01, 6.9285483609e+00, 2.4437949437e+01, -1.2272367402e+00
1.0937500000e-01, 2.0380063421e+01, 2.7187888342e+00, 1.9932651023e+01, 7.1292401296e+00, 2.4395600835e+01, -1.2629165134e+00
1.1250000000e-01, 2.0402342297e+01, 2.7950250868e+00, 1.9928704408e+01, 7.3296294312e+00, 2.4351794487e+01, -1.2985709913e+00
1.1562500000e-01, 2.0425247389e+01, 2.8711244446e+00, 1.9924646374e+01, 7.5297058699e+00, 2.4306532556e+01, -1.3342000526e+00
1.1875000000e-01, 2.0448777719e+01, 2.9470823588e+00, 1.9920476999e+01, 7.7294590646e+00, 2.4259817284e+01, -1.3698035766e+00
1.2187500000e-01, 2.0472932279e+01, 3.0228942878e+00, 1.9916196363e+01, 7.9288786497e+00, 2.4211650985e+01, -1.4053814436e+00
1.2500000000e-01, 2.0497710025e+01, 3.0985556971e+00, 1.9911804546e+01, 8.1279542755e+00, 2.4162036051e+01, -1.4409335346e+00
1.2812500000e-01, 2.0523109882e+01, 3.1740620598e+00, 1.9907301628e+01, 8.3266756093e+00, 2.4110974947e+01, -1.4764597312e+00
1.3125000000e-01, 2.0549130743e+01, 3.2494088565e+00, 1.9902687692e+01, 8.5250323349e+00, 2.4058470215e+01, -1.5119599161e+00
1.3437500000e-01, 2.0575771469e+01, 3.3245915759e+00, 1.9897962817e+01, 8.7230141541e+00, 2.4004524470e+01, -1.5474339722e+00
1.3750000000e-01, 2.0603030888e+01, 3.3996057149e+00, 1.9893127086e+01, 8.9206107870e+00, 2.3949140401e+01, -1.5828817836e+00
1.4062500000e-01, 2.0630907797e+01, 3.4744467786e+00, 1.9888180580e+01, 9.1178119721e+00, 2.3892320773e+01, -1.6183032349e+00
1.4375000000e-01, 2.0659400960e+01, 3.5491102811e+00, 1.9883123383e+01, 9.3146074672e+00, 2.3834068425e+01, -1.6536982112e+00
1.4687500000e-01, 2.0688509108e+01, 3.6235917449e+00, 1.9877955576e+01, 9.5109870502e+00, 2.3774386270e+01, -1.6890665985e+00
1.5000000000e-01, 2.0718230942e+01, 3.6978867020e+00, 1.9872677243e+01, 9.7069405190e+00, 2.3713277296e+01, -1.7244082835e+00
1.5312500000e-01, 2.0748565132e+01, 3.7719906935e+00, 1.9867288467e+01, 9.9024576926e+00, 2.3650744562e+01, -1.7597231533e+00
1.5625000000e-01, 2.0779510312e+01, 3.8458992703e+00, 1.9861789332e+01, 1.0097528411e+01, 2.3586791205e+01, -1.7950110957e+00
1.5937500000e-01, 2.0811065088e+01, 3.9196079928e+00, 1.9856179922e+01, 1.0292142537e+01, 2.3521420432e+01, -1.8302719993e+00
1.6250000000e-01, 2.0843228034e+01, 3.9931124317e+00, 1.9850460322e+01, 1.0486289955e+01, 2.3454635525e+01, -1.8655057531e+00
1.6562500000e-01, 2.0875997690e+01, 4.0664081677e+00, 1.9844630617e+01, 1.0679960572e+01, 2.3386439839e+01, -1.9007122467e+00
1.6875000000e-01, 2.0909372567e+01, 4.1394907922e+00, 1.9838690891e+01, 1.0873144320e+01, 2.3316836802e+01, -1.9358913705e+00
1.7187500000e-01, 2.0943351143e+01, 4.2123559072e+00, 1.9832641230e+01, 1.1065831155e+01, 2.3245829915e+01, -1.9710430151e+00
1.7500000000e-01, 2.0977931865e+01, 4.2849991257e+00, 1.9826481721e+01, 1.1258011055e+01, 2.3173422753e+01, -2.0061670720e+00
1.7812500000e-01, 2.1013113149e+01, 4.3574160718e+00, 1.9820212449e+01, 1.1449674026e+01, 2.3099618962e+01, -2.0412634330e+00
1.8125000000e-01, 2.1048893381e+01, 4.4296023810e+00, 1.9813833501e+01, 1.1640810099e+01, 2.3024422260e+01, -2.0763319906e+00
1.8437500000e-01, 2.1085270912e+01, 4.5015537006e+00, 1.9807344963e+01, 1.1831409330e+01, 2.2947836439e+01, -2.1113726376e+00
1.8750000000e-01, 2.1122244066e+01, 4.5732656894e+00, 1.9800746924e+01, 1.2021461803e+01, 2.2869865361e+01, -2.1463852675e+00
1.9062500000e-01, 2.1159811135e+01, 4.6447340187e+00, 1.9794039470e+01, 1.2210957628e+01, 2.2790512962e+01, -2.1813697743e+00
1.9375000000e-01, 2.1197970377e+01, 4.7159543717e+00, 1.9787222689e+01, 1.2399886944e+01, 2.2709783247e+01, -2.2163260524e+00
1.9687500000e-01, 2.1236720024e+01, 4.7869224444e+00, 1.9780296670e+01, 1.2588239917e+01, 2.2627680296e+01, -2.2512539966e+00
2.0000000000e-01, 2.1276058274e+01, 4.8576339453e+00, 1.9773261502e+01, 1.2776006743e+01, 2.2544208256e+01, -2.2861535024e+00
2.0312500000e-01, 2.1315983295e+01, 4.9280845961e+00, 1.9766117272e+01, 1.2963177647e+01, 2.2459371349e+01, -2.3210244654e+00
2.0625000000e-01, 2.1356493225e+01, 4.9982701315e+00, 1.9758864070e+01, 1.3149742882e+01, 2.2373173864e+01, -2.3558667820e+00
2.0937500000e-01, 2.1397586171e+01, 5.0681862999e+00, 1.9751501987e+01, 1.3335692734e+01, 2.2285620164e+01, -2.3906803488e+00
2.1250000000e-01, 2.1439260211e+01, 5.1378288629e+00, 1.9744031111e+01, 1.3521017519e+01, 2.2196714680e+01, -2.4254650629e+00
2.1562500000e-01, 2.1481513391e+01, 5.2071935963e+00, 1.9736451532e+01, 1.3705707582e+01, 2.2106461915e+01, -2.4602208217e+00
2.1875000000e-01, 2.1524343727e+01, 5.2762762897e+00, 1.9728763342e+01, 1.3889753303e+01, 2.2014866440e+01, -2.4949475232e+00
2.2187500000e-01, 2.1567749206e+01, 5.3450727474e+00, 1.9720966631e+01, 1.4073145094e+01, 2.1921932896e+01, -2.5296450657e+00
2.2500000000e-01, 2.1611727785e+01, 5.4135787877e+00, 1.9713061490e+01, 1.4255873397e+01, 2.1827665995e+01, -2.5643133477e+00
2.2812500000e-01, 2.1656277389e+01, 5.4817902439e+00, 1.9705048011e+01, 1.4437928690e+01, 2.1732070517e+01, -2.5989522684e+00
2.3125000000e-01, 2.1701395916e+01, 5.5497029643e+00, 1.9696926285e+01, 1.4619301485e+01, 2.1635151310e+01, -2.6335617271e+00
2.3437500000e-01, 2.1747081233e+01, 5.6173128121e+00, 1.9688696405e+01, 1.4799982326e+01, 2.1536913294e+01, -2.6681416235e+00
2.3750000000e-01, 2.1793331178e+01, 5.6846156662e+00, 1.9680358462e+01, 1.4979961795e+01, 2.1437361453e+01, -2.7026918576e+00
2.4062500000e-01, 2.1840143559e+01, 5.7516074207e+00, 1.9671912550e+01, 1.5159230507e+01, 2.1336500842e+01, -2.7372123300e+00
2.4375000000e-01, 2.1887516154e+01, 5.8182839858e+00, 1.9663358762e+01, 1.5337779113e+01, 2.1234336585e+01, -2.7717029412e+00
