t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
3.1250000000e-03, 2.0000634773e+01, 7.8125000000e-02, 1.9999905959e+01, 2.0312748785e-01, 2.5000000000e+01, -3.0092961163e-02
6.2500000000e-03, 2.0001904322e+01, 1.5624540812e-01, 1.9999717879e+01, 4.0625545326e-01, 2.4998530598e+01, -6.0185780829e-02
9.3750000000e-03, 2.0003808613e+01, 2.3435663246e-01, 1.9999435759e+01, 6.0937331912e-01, 2.4995591788e+01, -9.0278317499e-02
1.2500000000e-02, 2.0006347584e+01, 3.1245408133e-01, 1.9999059602e+01, 8.1247050824e-01, 2.4991183638e+01, -1.2037042968e-01
1.5625000000e-02, 2.0009521135e+01, 3.9053316350e-01, 1.9998589408e+01, 1.0155364439e+00, 2.4985306294e+01, -1.5046197587e-01
1.8750000000e-02, 2.0013329137e+01, 4.6858928843e-01, 1.9998025180e+01, 1.2185605505e+00, 2.4977959977e+01, -1.8055281459e-01
2.1875000000e-02, 2.0017771425e+01, 5.4661786650e-01, 1.9997366922e+01, 1.4215322538e+00, 2.4969144984e+01, -2.1064280435e-01
2.5000000000e-02, 2.0022847803e+01, 6.2461430928e-01, 1.9996614635e+01, 1.6244409818e+00, 2.4958861689e+01, -2.4073180365e-01
2.8125000000e-02, 2.0028558041e+01, 7.0257402972e-01, 1.9995768323e+01, 1.8272761652e+00, 2.4947110542e+01, -2.7081967103e-01
3.1250000000e-02, 2.0034901876e+01, 7.8049244243e-01, 1.9994827991e+01, 2.0300272379e+00, 2.4933892067e+01, -3.0090626501e-01
3.4375000000e-02, 2.0041879013e+01, 8.5836496390e-01, 1.9993793643e+01, 2.2326836374e+00, 2.4919206868e+01, -3.3099144412e-01
3.7500000000e-02, 2.0049489121e+01, 9.3618701271e-01, 1.9992665283e+01, 2.4352348057e+00, 2.4903055621e+01, -3.6107506690e-01
4.0625000000e-02, 2.0057731841e+01, 1.0139540098e+00, 1.9991442918e+01, 2.6376701895e+00, 2.4885439080e+01, -3.9115699190e-01
4.3750000000e-02, 2.0066606776e+01, 1.0916613788e+00, 1.9990126552e+01, 2.8399792411e+00, 2.4866358076e+01, -4.2123707766e-01
