t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.5000000000e+01, 2.5000000000e+01, 0.0000000000e+00, 0.0000000000e+00, 4.0000000000e+01, 5.0000000000e+00
3.1250000000e-03, 2.5000000000e+01, 2.5125000000e+01, 1.5625000000e-02, 3.1973771236e-01, 4.0018808101e+01, 5.0000000000e+00
6.2500000000e-03, 2.5000999180e+01, 2.5250058775e+01, 3.1250000000e-02, 6.3961692258e-01, 4.0035304778e+01, 4.9999764899e+00
9.3750000000e-03, 2.5002997983e+01, 2.5375169103e+01, 4.6874926531e-02, 9.5962099298e-01, 4.0049489012e+01, 4.9999294696e+00
1.2500000000e-02, 2.5005996799e+01, 2.5500323756e+01, 6.2499706123e-02, 1.2797332785e+00, 4.0061359903e+01, 4.9998589394e+00
1.5625000000e-02, 2.5009995965e+01, 2.5625515506e+01, 7.8124265309e-02, 1.5999371277e+00, 4.0070916668e+01, 4.9997648993e+00
1.8750000000e-02, 2.5014995769e+01, 2.5750737120e+01, 9.3748530619e-02, 1.9202158834e+00, 4.0078158648e+01, 4.9996473498e+00
2.1875000000e-02, 2.5020996443e+01, 2.5875981366e+01, 1.0937242859e-01, 2.2405528837e+00, 4.0083085300e+01, 4.9995062912e+00
2.5000000000e-02, 2.5027998171e+01, 2.6001241008e+01, 1.2499588575e-01, 2.5609314629e+00, 4.0085696205e+01, 4.9993417242e+00
2.8125000000e-02, 2.5036001082e+01, 2.6126508808e+01, 1.4061882864e-01, 2.8813349521e+00, 4.0085991061e+01, 4.9991536494e+00
3.1250000000e-02, 2.5045005254e+01, 2.6251777530e+01, 1.5624118379e-01, 3.2017466804e+00, 4.0083969686e+01, 4.9989420675e+00
3.4375000000e-02, 2.5055010712e+01, 2.6377039936e+01, 1.7186287775e-01, 3.5221499754e+00, 4.0079632019e+01, 4.9987069796e+00
3.7500000000e-02, 2.5066017431e+01, 2.6502288786e+01, 1.8748383706e-01, 3.8425281644e+00, 4.0072978120e+01, 4.9984483864e+00
4.0625000000e-02, 2.5078025331e+01, 2.6627516842e+01, 2.0310398827e-01, 4.1628645752e+00, 4.0064008166e+01, 4.9981662892e+00
4.3750000000e-02, 2.5091034283e+01, 2.6752716868e+01, 2.1872325792e-01, 4.4831425367e+00, 4.0052722456e+01, 4.9978606892e+00
4.6875000000e-02, 2.5105044104e+01, 2.6877881625e+01, 2.3434157258e-01, 4.8033453801e+00, 4.0039121409e+01, 4.9975315877e+00
5.0000000000e-02, 2.5120054558e+01, 2.7003003880e+01, 2.4995885879e-01, 5.1234564394e+00, 4.0023205564e+01, 4.9971789861e+00
5.3125000000e-02, 2.5136065359e+01, 2.7128076397e+01, 2.6557504312e-01, 5.4434590527e+00, 4.0004975579e+01, 4.9968028860e+00
5.6250000000e-02, 2.5153076169e+01, 2.7253091946e+01, 2.8119005214e-01, 5.7633365628e+00, 3.9984432232e+01, 4.9964032890e+00
5.9375000000e-02, 2.5171086596e+01, 2.7378043297e+01, 2.9680381242e-01, 6.0830723180e+00, 3.9961576422e+01, 4.9959801969e+00
6.2500000000e-02, 2.5190096197e+01, 2.7502923223e+01, 3.1241625053e-01, 6.4026496731e+00, 3.9936409167e+01, 4.9955336116e+00
6.5625000000e-02, 2.5210104477e+01, 2.7627724502e+01, 3.2802729307e-01, 6.7220519902e+00, 3.9908931605e+01, 4.9950635351e+00
6.8750000000e-02, 2.5231110889e+01, 2.7752439913e+01, 3.4363686662e-01, 7.0412626398e+00, 3.9879144994e+01, 4.9945699695e+00
7.1875000000e-02, 2.5253114835e+01, 2.7877062241e+01, 3.5924489777e-01, 7.3602650012e+00, 3.9847050710e+01, 4.9940529170e+00
7.5000000000e-02, 2.5276115663e+01, 2.8001584274e+01, 3.7485131314e-01, 7.6790424637e+00, 3.9812650252e+01, 4.9935123798e+00
7.8125000000e-02, 2.5300112671e+01, 2.8125998806e+01, 3.9045603932e-01, 7.9975784273e+00, 3.9775945235e+01, 4.9929483605e+00
8.1250000000e-02, 2.5325105103e+01, 2.8250298635e+01, 4.0605900295e-01, 8.3158563038e+00, 3.9736937395e+01, 4.9923608616e+00
8.4375000000e-02, 2.5351092154e+01, 2.8374476565e+01, 4.2166013064e-01, 8.6338595174e+00, 3.9695628589e+01, 4.9917498857e+00
8.7500000000e-02, 2.5378072965e+01, 2.8498525404e+01, 4.3725934904e-01, 8.9515715055e+00, 3.9652020790e+01, 4.9911154356e+00
9.0625000000e-02, 2.5406046626e+01, 2.8622437969e+01, 4.5285658477e-01, 9.2689757201e+00, 3.9606116092e+01, 4.9904575142e+00
9.3750000000e-02, 2.5435012175e+01, 2.8746207082e+01, 4.6845176450e-01, 9.5860556278e+00, 3.9557916708e+01, 4.9897761244e+00
9.6875000000e-02, 2.5464968599e+01, 2.8869825571e+01, 4.8404481489e-01, 9.9027947114e+00, 3.9507424970e+01, 4.9890712694e+00
1.0000000000e-01, 2.5495914833e+01, 2.8993286274e+01, 4.9963566261e-01, 1.0219176470e+01, 3.9454643330e+01, 4.9883429523e+00
1.0312500000e-01, 2.5527849759e+01, 2.9116582035e+01, 5.1522423433e-01, 1.0535184422e+01, 3.9399574355e+01, 4.9875911765e+00
1.0625000000e-01, 2.5560772211e+01, 2.9239705705e+01, 5.3081045676e-01, 1.0850802102e+01, 3.9342220736e+01, 4.9868159453e+00
1.0937500000e-01, 2.5594680967e+01, 2.9362650145e+01, 5.4639425659e-01, 1.1166013066e+01, 3.9282585277e+01, 4.9860172624e+00
1.1250000000e-01, 2.5629574758e+01, 2.9485408224e+01, 5.6197556054e-01, 1.1480800887e+01, 3.9220670905e+01, 4.9851951313e+00
1.1562500000e-01, 2.5665452261e+01, 2.9607972820e+01, 5.7755429532e-01, 1.1795149164e+01, 3.9156480663e+01, 4.9843495559e+00
1.1875000000e-01, 2.5702312102e+01, 2.9730336822e+01, 5.9313038768e-01, 1.2109041513e+01, 3.9090017711e+01, 4.9834805399e+00
1.2187500000e-01, 2.5740152857e+01, 2.9852493128e+01, 6.0870376437e-01, 1.2422461576e+01, 3.9021285328e+01, 4.9825880875e+00
1.2500000000e-01, 2.5778973049e+01, 2.9974434644e+01, 6.2427435214e-01, 1.2735393018e+01, 3.8950286913e+01, 4.9816722025e+00
1.2812500000e-01, 2.5818771152e+01, 3.0096154291e+01, 6.3984207778e-01, 1.3047819527e+01, 3.8877025978e+01, 4.9807328893e+00
1.3125000000e-01, 2.5859545588e+01, 3.0217644997e+01, 6.5540686806e-01, 1.3359724817e+01, 3.8801506157e+01, 4.9797701522e+00
1.3437500000e-01, 2.5901294728e+01, 3.0338899704e+01, 6.7096864978e-01, 1.3671092629e+01, 3.8723731197e+01, 4.9787839955e+00
1.3750000000e-01, 2.5944016893e+01, 3.0459911364e+01, 6.8652734977e-01, 1.3981906730e+01, 3.8643704966e+01, 4.9777744238e+00
1.4062500000e-01, 2.5987710351e+01, 3.0580672942e+01, 7.0208289484e-01, 1.4292150916e+01, 3.8561431445e+01, 4.9767414418e+00
1.4375000000e-01, 2.6032373323e+01, 3.0701177415e+01, 7.1763521185e-01, 1.4601809009e+01, 3.8476914734e+01, 4.9756850541e+00
1.4687500000e-01, 2.6078003976e+01, 3.0821417774e+01, 7.3318422764e-01, 1.4910864864e+01, 3.8390159050e+01, 4.9746052657e+00
1.5000000000e-01, 2.6124600429e+01, 3.0941387021e+01, 7.4872986910e-01, 1.5219302365e+01, 3.8301168724e+01, 4.9735020815e+00
1.5312500000e-01, 2.6172160749e+01, 3.1061078173e+01, 7.6427206310e-01, 1.5527105425e+01, 3.8209948204e+01, 4.9723755065e+00
1.5625000000e-01, 2.6220682953e+01, 3.1180484261e+01, 7.7981073656e-01, 1.5834257992e+01, 3.8116502054e+01, 4.9712255461e+00
1.5937500000e-01, 2.6270165009e+01, 3.1299598330e+01, 7.9534581639e-01, 1.6140744046e+01, 3.8020834954e+01, 4.9700522054e+00
1.6250000000e-01, 2.6320604834e+01, 3.1418413439e+01, 8.1087722953e-01, 1.6446547600e+01, 3.7922951698e+01, 4.9688554898e+00
1.6562500000e-01, 2.6372000296e+01, 3.1536922663e+01, 8.2640490294e-01, 1.6751652702e+01, 3.7822857196e+01, 4.9676354050e+00
1.6875000000e-01, 2.6424349210e+01, 3.1655119092e+01, 8.4192876358e-01, 1.7056043434e+01, 3.7720556472e+01, 4.9663919564e+00
1.7187500000e-01, 2.6477649346e+01, 3.1772995831e+01, 8.5744873844e-01, 1.7359703917e+01, 3.7616054666e+01, 4.9651251500e+00
1.7500000000e-01, 2.6531898421e+01, 3.1890546002e+01, 8.7296475454e-01, 1.7662618307e+01, 3.7509357030e+01, 4.9638349914e+00
1.7812500000e-01, 2.6587094103e+01, 3.2007762742e+01, 8.8847673888e-01, 1.7964770798e+01, 3.7400468932e+01, 4.9625214867e+00
1.8125000000e-01, 2.6643234012e+01, 3.2124639208e+01, 9.0398461853e-01, 1.8266145623e+01, 3.7289395854e+01, 4.9611846419e+00
1.8437500000e-01, 2.6700315717e+01, 3.2241168570e+01, 9.1948832054e-01, 1.8566727053e+01, 3.7176143389e+01, 4.9598244632e+00
1.8750000000e-01, 2.6758336739e+01, 3.2357344018e+01, 9.3498777198e-01, 1.8866499402e+01, 3.7060717246e+01, 4.9584409568e+00
1.9062500000e-01, 2.6817294550e+01, 3.2473158759e+01, 9.5048289997e-01, 1.9165447023e+01, 3.6943123245e+01, 4.9570341293e+00
1.9375000000e-01, 2.6877186572e+01, 3.2588606020e+01, 9.6597363163e-01, 1.9463554311e+01, 3.6823367319e+01, 4.9556039871e+00
1.9687500000e-01, 2.6938010179e+01, 3.2703679042e+01, 9.8145989409e-01, 1.9760805705e+01, 3.6701455515e+01, 4.9541505367e+00
2.0000000000e-01, 2.6999762697e+01, 3.2818371091e+01, 9.9694161451e-01, 2.0057185686e+01, 3.6577393989e+01, 4.9526737850e+00
2.0312500000e-01, 2.7062441402e+01, 3.2932675447e+01, 1.0124187201e+00, 2.0352678781e+01, 3.6451189010e+01, 4.9511737387e+00
