t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
6.2500000000e-03, 2.0002539094e+01, 1.5625000000e-01, 1.9999623838e+01, 4.0625497570e-01, 2.5000000000e+01, -6.0185922326e-02
1.2500000000e-02, 2.0007617305e+01, 3.1246326496e-01, 1.9998871521e+01, 8.1251377185e-01, 2.4994122394e+01, -1.2037071267e-01
1.8750000000e-02, 2.0015234128e+01, 4.6860305914e-01, 1.9997743063e+01, 1.2186917716e+00, 2.4982367068e+01, -1.8055323907e-01
2.5000000000e-02, 2.0025388530e+01, 6.2463265369e-01, 1.9996238486e+01, 1.6247043558e+00, 2.4964735129e+01, -2.4073236960e-01
3.1250000000e-02, 2.0038078949e+01, 7.8051533431e-01, 1.9994357817e+01, 2.0304669201e+00, 2.4941228899e+01, -3.0090697242e-01
3.7500000000e-02, 2.0053303292e+01, 9.3621440880e-01, 1.9992101093e+01, 2.4358948930e+00, 2.4911851918e+01, -3.6107591575e-01
4.3750000000e-02, 2.0071058940e+01, 1.0916932147e+00, 1.9989468355e+01, 2.8409037530e+00, 2.4876608946e+01, -4.2123806793e-01
5.0000000000e-02, 2.0091342747e+01, 1.2469151269e+00, 1.9986459653e+01, 3.2454090463e+00, 2.4835505957e+01, -4.8139229741e-01
5.6250000000e-02, 2.0114151037e+01, 1.4018435653e+00, 1.9983075044e+01, 3.6493264042e+00, 2.4788550142e+01, -5.4153747283e-01
6.2500000000e-02, 2.0139479609e+01, 1.5564420022e+00, 1.9979314591e+01, 4.0525715609e+00, 2.4735749904e+01, -6.0167246295e-01
6.8750000000e-02, 2.0167323736e+01, 1.7106739701e+00, 1.9975178365e+01, 4.4550603704e+00, 2.4677114862e+01, -6.6179613675e-01
7.5000000000e-02, 2.0197678167e+01, 1.8645030691e+00, 1.9970666444e+01, 4.8567088245e+00, 2.4612655845e+01, -7.2190736343e-01
8.1250000000e-02, 2.0230537123e+01, 2.0178929747e+00, 1.9965778913e+01, 5.2574330699e+00, 2.4542384891e+01, -7.8200501240e-01
8.7500000000e-02, 2.0265894307e+01, 2.1708074450e+00, 1.9960515863e+01, 5.6571494260e+00, 2.4466315245e+01, -8.4208795334e-01
