t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
6.2500000000e-03, 2.0000000000e+01, 1.5625000000e-01, 2.0000000000e+01, 4.0625497570e-01, 2.5000000000e+01, -6.0185922326e-02
1.2500000000e-02, 2.0002539094e+01, 3.1250000000e-01, 1.9999623838e+01, 8.1250995141e-01, 2.4994122394e+01, -1.2037184465e-01
1.8750000000e-02, 2.0007617281e+01, 4.6871326496e-01, 1.9998871514e+01, 1.2186803103e+00, 2.4982367181e+01, -1.8055663500e-01
2.5000000000e-02, 2.0015234033e+01, 6.2485305984e-01, 1.9997743035e+01, 1.6246814354e+00, 2.4964735580e+01, -2.4073916137e-01
3.1250000000e-02, 2.0025388292e+01, 7.8088265722e-01, 1.9996238415e+01, 2.0304287276e+00, 2.4941230026e+01, -3.0091829182e-01
3.7500000000e-02, 2.0038078471e+01, 9.3676534488e-01, 1.9994357676e+01, 2.4358376224e+00, 2.4911854173e+01, -3.6109289443e-01
4.3750000000e-02, 2.0053302456e+01, 1.0924644335e+00, 1.9992100845e+01, 2.8408236084e+00, 2.4876612892e+01, -4.2126183733e-01
5.0000000000e-02, 2.0071057604e+01, 1.2479432640e+00, 1.9989467959e+01, 3.2453022438e+00, 2.4835512269e+01, -4.8142398876e-01
5.6250000000e-02, 2.0091340743e+01, 1.4031652157e+00, 1.9986459059e+01, 3.6491891747e+00, 2.4788559607e+01, -5.4157821706e-01
6.2500000000e-02, 2.0114148175e+01, 1.5580937133e+00, 1.9983074195e+01, 4.0524001524e+00, 2.4735763423e+01, -6.0172339068e-01
6.8750000000e-02, 2.0139475676e+01, 1.7126922347e+00, 1.9979313424e+01, 4.4548510504e+00, 2.4677133446e+01, -6.6185837825e-01
7.5000000000e-02, 2.0167318495e+01, 1.8669243187e+00, 1.9975176809e+01, 4.8564578825e+00, 2.4612680615e+01, -7.2198204854e-01
