t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
5.0000000000e-03, 2.0015027056e+01, 1.9199433534e-01, 1.9946163319e+01, 3.0054111521e+00, 3.8398867069e+01, -1.0767336283e+01
1.0000000000e-02, 2.0045874076e+01, 4.5091666979e-01, 1.9838629291e+01, 6.1694040520e+00, 5.1784466889e+01, -2.1506805595e+01
1.5000000000e-02, 2.0093331109e+01, 7.7669379596e-01, 1.9677540851e+01, 9.4914065717e+00, 6.5155425233e+01, -3.2217687955e+01
2.0000000000e-02, 2.0158180554e+01, 1.1692478856e+00, 1.9463046198e+01, 1.2969889002e+01, 7.8510817937e+01, -4.2898930594e+01
2.5000000000e-02, 2.0241191963e+01, 1.6284990396e+00, 1.9195300706e+01, 1.6602281753e+01, 9.1850230789e+01, -5.3549098283e+01
3.0000000000e-02, 2.0343116128e+01, 2.1543682811e+00, 1.8874469212e+01, 2.0384833107e+01, 1.0517384831e+02, -6.4166298927e+01
3.5000000000e-02, 2.0464678067e+01, 2.7467811850e+00, 1.8500728838e+01, 2.4312387773e+01, 1.1848258078e+02, -7.4748074682e+01
4.0000000000e-02, 2.0606568336e+01, 3.4056724084e+00, 1.8074272625e+01, 2.8378053856e+01, 1.3177824467e+02, -8.5291242734e+01
4.5000000000e-02, 2.0769431857e+01, 4.1309915123e+00, 1.7595314328e+01, 3.2572704122e+01, 1.4506382079e+02, -9.5791659328e+01
5.0000000000e-02, 2.0953852953e+01, 4.9227106639e+00, 1.7064095019e+01, 3.6884219145e+01, 1.5834383031e+02, -1.0624386174e+02
5.5000000000e-02, 2.1160334497e+01, 5.7808351472e+00, 1.6480892484e+01, 4.1296308870e+01, 1.7162489667e+02, -1.1664050701e+02
6.0000000000e-02, 2.1389267543e+01, 6.7054182161e+00, 1.5846035213e+01, 4.5786609183e+01, 1.8491661376e+02, -1.2697145426e+02
6.5000000000e-02, 2.1640884820e+01, 7.6965829353e+00, 1.5159924304e+01, 5.0323455413e+01, 1.9823294384e+02, -1.3722218177e+02
7.0000000000e-02, 2.1915185126e+01, 8.7545558606e+00, 1.4423069980e+01, 5.4860061143e+01, 2.1159458507e+02, -1.4737086480e+02
7.5000000000e-02, 2.2211800758e+01, 9.8797220378e+00, 1.3636157575e+01, 5.9323126488e+01, 2.2503323543e+02, -1.5738248102e+02
8.0000000000e-02, 2.2529740661e+01, 1.1072721300e+01, 1.2800180502e+01, 6.3587980584e+01, 2.3859985236e+02, -1.6719541457e+02
8.5000000000e-02, 2.2866817635e+01, 1.2334630854e+01, 1.1916753572e+01, 6.7415394842e+01, 2.5238191097e+02, -1.7668538614e+02
9.0000000000e-02, 2.3218065938e+01, 1.3667327315e+01, 1.0989056907e+01, 7.0249660608e+01, 2.6653929221e+02, -1.8553933286e+02
9.5000000000e-02, 2.3569489469e+01, 1.5073716196e+01, 1.0026256523e+01, 7.0284706117e+01, 2.8127777606e+02, -1.9256007687e+02
1.0000000000e-01, 2.3870077728e+01, 1.6526575836e+01, 9.0823688110e+00, 6.0117651913e+01, 2.9057192806e+02, -1.8877754239e+02
1.0500000000e-01, 2.4140039594e+01, 1.7934748975e+01, 8.1976491691e+00, 5.3992373082e+01, 2.8163462782e+02, -1.7694392837e+02
1.1000000000e-01, 2.4394811567e+01, 1.9282707930e+01, 7.3697442209e+00, 5.0954394647e+01, 2.6959179101e+02, -1.6558098965e+02
1.1500000000e-01, 2.4639844895e+01, 2.0565838898e+01, 6.5967839992e+00, 4.9006665667e+01, 2.5662619354e+02, -1.5459204433e+02
1.2000000000e-01, 2.4877500163e+01, 2.1782006248e+01, 5.8775790487e+00, 4.7531053521e+01, 2.4323347000e+02, -1.4384099011e+02
1.2500000000e-01, 2.5108820373e+01, 2.2929992803e+01, 5.2113092458e+00, 4.6264041958e+01, 2.2959731093e+02, -1.3325396058e+02
1.3000000000e-01, 2.5334165410e+01, 2.4009021027e+01, 4.5973672295e+00, 4.5069007527e+01, 2.1580564488e+02, -1.2278840326e+02
1.3500000000e-01, 2.5553494284e+01, 2.5018559849e+01, 4.0352780162e+00, 4.3865774615e+01, 2.0190776432e+02, -1.1241784266e+02
1.4000000000e-01, 2.5766510090e+01, 2.5958232278e+01, 3.5246542144e+00, 4.2603161292e+01, 1.8793448582e+02, -1.0212476035e+02
1.4500000000e-01, 2.5972742452e+01, 2.6827765767e+01, 3.0651691700e+00, 4.1246472325e+01, 1.7390669777e+02, -9.1897008890e+01
1.5000000000e-01, 2.6171598095e+01, 2.7626963147e+01, 2.6565398515e+00, 3.9771128607e+01, 1.5983947598e+02, -8.1725863693e+01
1.5500000000e-01, 2.6362393792e+01, 2.8355684440e+01, 2.2985153766e+00, 3.8159139394e+01, 1.4574425868e+02, -7.1604894970e+01
1.6000000000e-01, 2.6544378884e+01, 2.9013834842e+01, 1.9908689790e+00, 3.6397018420e+01, 1.3163008037e+02, -6.1529279520e+01
1.6500000000e-01, 2.6716751327e+01, 2.9601356397e+01, 1.7333921643e+00, 3.4474488601e+01, 1.1750431100e+02, -5.1495362942e+01
1.7000000000e-01, 2.6878669546e+01, 3.0118221987e+01, 1.5258903049e+00, 3.2383643779e+01, 1.0337311798e+02, -4.1500371881e+01
1.7500000000e-01, 2.7029261490e+01, 3.0564430806e+01, 1.3681792030e+00, 3.0118388954e+01, 8.9241763778e+01, -3.1542220381e+01
1.8000000000e-01, 2.7167631780e+01, 3.0940004813e+01, 1.2600823138e+00, 2.7674057894e+01, 7.5114801515e+01, -2.1619377849e+01
1.8500000000e-01, 2.7292867523e+01, 3.1244985833e+01, 1.2014284179e+00, 2.5047148522e+01, 6.0996203917e+01, -1.1730779178e+01
1.9000000000e-01, 2.7404043222e+01, 3.1479433066e+01, 1.1920495922e+00, 2.2235139875e+01, 4.6889446688e+01, -1.8757651310e+00
