t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
3.1250000000e-03, 2.0000319902e+01, 7.8136663477e-02, 1.9999943041e+01, 2.0474571164e-01, 2.5007216926e+01, -3.6450624885e-02
6.2500000000e-03, 2.0001279708e+01, 1.5629355746e-01, 1.9999772205e+01, 4.0953681990e-01, 2.5012947466e+01, -7.2880482151e-02
9.3750000000e-03, 2.0002879543e+01, 2.3446603648e-01, 1.9999487559e+01, 6.1436274254e-01, 2.5017191301e+01, -1.0928941611e-01
1.2500000000e-02, 2.0005119500e+01, 3.1264945419e-01, 1.9999089168e+01, 8.1921289475e-01, 2.5019948191e+01, -1.4567727239e-01
1.5625000000e-02, 2.0007999638e+01, 3.9083916359e-01, 1.9998577098e+01, 1.0240766896e+00, 2.5021217971e+01, -1.8204389793e-01
1.8750000000e-02, 2.0011519983e+01, 4.6903051733e-01, 1.9997951416e+01, 1.2289435388e+00, 2.5021000554e+01, -2.1838914095e-01
2.1875000000e-02, 2.0015680527e+01, 5.4721886787e-01, 1.9997212189e+01, 1.4338028530e+00, 2.5019295928e+01, -2.5471285096e-01
2.5000000000e-02, 2.0020481232e+01, 6.2539956777e-01, 1.9996359484e+01, 1.6386440423e+00, 2.5016104159e+01, -2.9101487869e-01
2.8125000000e-02, 2.0025922023e+01, 7.0356796990e-01, 1.9995393369e+01, 1.8434565173e+00, 2.5011425391e+01, -3.2729507615e-01
3.1250000000e-02, 2.0032002794e+01, 7.8171942772e-01, 1.9994313912e+01, 2.0482296890e+00, 2.5005259842e+01, -3.6355329653e-01
3.4375000000e-02, 2.0038723406e+01, 8.5984929548e-01, 1.9993121183e+01, 2.2529529697e+00, 2.4997607808e+01, -3.9978939425e-01
3.7500000000e-02, 2.0046083687e+01, 9.3795292848e-01, 1.9991815252e+01, 2.4576157736e+00, 2.4988469663e+01, -4.3600322489e-01
4.0625000000e-02, 2.0054083431e+01, 1.0160256833e+00, 1.9990396187e+01, 2.6622075171e+00, 2.4977845856e+01, -4.7219464522e-01
4.3750000000e-02, 2.0062722399e+01, 1.0940629181e+00, 1.9988864059e+01, 2.8667176194e+00, 2.4965736913e+01, -5.0836351314e-01
4.6875000000e-02, 2.0072000320e+01, 1.1720599926e+00, 1.9987218938e+01, 3.0711355035e+00, 2.4952143438e+01, -5.4450968772e-01
5.0000000000e-02, 2.0081916889e+01, 1.2500122689e+00, 1.9985460897e+01, 3.2754505960e+00, 2.4937066110e+01, -5.8063302911e-01
