t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.5000000000e+01, 2.5000000000e+01, 0.0000000000e+00, 0.0000000000e+00, 4.0000000000e+01, 5.0000000000e+00
3.1250000000e-03, 2.5000499662e+01, 2.5125028184e+01, 1.5624987755e-02, 3.1980568804e-01, 4.0017652224e+01, 4.9999882449e+00
6.2500000000e-03, 2.5001998916e+01, 2.5250107918e+01, 3.1249902041e-02, 6.3973623218e-01, 4.0032992075e+01, 4.9999529798e+00
9.3750000000e-03, 2.5004498126e+01, 2.5375231975e+01, 4.6874669390e-02, 9.5977498481e-01, 4.0046018711e+01, 4.9998942048e+00
1.2500000000e-02, 2.5007997605e+01, 2.5500393124e+01, 6.2499216332e-02, 1.2799052927e+00, 4.0056731412e+01, 4.9998119202e+00
1.5625000000e-02, 2.5012497612e+01, 2.5625584135e+01, 7.8123469402e-02, 1.6001104978e+00, 4.0065129577e+01, 4.9997061263e+00
1.8750000000e-02, 2.5017998356e+01, 2.5750797773e+01, 9.3747355133e-02, 1.9203739383e+00, 4.0071212726e+01, 4.9995768237e+00
2.1875000000e-02, 2.5024499992e+01, 2.5876026803e+01, 1.0937080006e-01, 2.2406789492e+00, 4.0074980496e+01, 4.9994240130e+00
2.5000000000e-02, 2.5032002625e+01, 2.6001263989e+01, 1.2499373073e-01, 2.5610088635e+00, 4.0076432646e+01, 4.9992476948e+00
2.8125000000e-02, 2.5040506306e+01, 2.6126502094e+01, 1.4061607367e-01, 2.8813470127e+00, 4.0075569057e+01, 4.9990478701e+00
3.1250000000e-02, 2.5050011035e+01, 2.6251733883e+01, 1.5623775543e-01, 3.2016767280e+00, 4.0072389725e+01, 4.9988245398e+00
3.4375000000e-02, 2.5060516760e+01, 2.6376952118e+01, 1.7185870256e-01, 3.5219813410e+00, 4.0066894770e+01, 4.9985777048e+00
3.7500000000e-02, 2.5072023375e+01, 2.6502149563e+01, 1.8747884160e-01, 3.8422441846e+00, 4.0059084430e+01, 4.9983073664e+00
4.0625000000e-02, 2.5084530725e+01, 2.6627318984e+01, 2.0309809912e-01, 4.1624485937e+00, 4.0048959065e+01, 4.9980135259e+00
4.3750000000e-02, 2.5098038601e+01, 2.6752453147e+01, 2.1871640166e-01, 4.4825779065e+00, 4.0036519152e+01, 4.9976961846e+00
4.6875000000e-02, 2.5112546741e+01, 2.6877544819e+01, 2.3433367579e-01, 4.8026154647e+00, 4.0021765289e+01, 4.9973553440e+00
5.0000000000e-02, 2.5128054834e+01, 2.7002586770e+01, 2.4994984808e-01, 5.1225446152e+00, 4.0004698196e+01, 4.9969910057e+00
5.3125000000e-02, 2.5144562515e+01, 2.7127571773e+01, 2.6556484510e-01, 5.4423487100e+00, 3.9985318710e+01, 4.9966031715e+00
5.6250000000e-02, 2.5162069366e+01, 2.7252492604e+01, 2.8117859343e-01, 5.7620111079e+00, 3.9963627790e+01, 4.9961918431e+00
5.9375000000e-02, 2.5180574919e+01, 2.7377342041e+01, 2.9679101965e-01, 6.0815151749e+00, 3.9939626511e+01, 4.9957570225e+00
6.2500000000e-02, 2.5200078654e+01, 2.7502112864e+01, 3.1240205035e-01, 6.4008442853e+00, 3.9913316073e+01, 4.9952987117e+00
6.5625000000e-02, 2.5220579997e+01, 2.7626797862e+01, 3.2801161213e-01, 6.7199818223e+00, 3.9884697792e+01, 4.9948169130e+00
6.8750000000e-02, 2.5242078323e+01, 2.7751389823e+01, 3.4361963160e-01, 7.0389111790e+00, 3.9853773104e+01, 4.9943116284e+00
7.1875000000e-02, 2.5264572957e+01, 2.7875881543e+01, 3.5922603535e-01, 7.3576157593e+00, 3.9820543565e+01, 4.9937828606e+00
7.5000000000e-02, 2.5288063170e+01, 2.8000265821e+01, 3.7483075001e-01, 7.6760789790e+00, 3.9785010850e+01, 4.9932306118e+00
7.8125000000e-02, 2.5312548182e+01, 2.8124535464e+01, 3.9043370222e-01, 7.9942842659e+00, 3.9747176755e+01, 4.9926548847e+00
8.1250000000e-02, 2.5338027161e+01, 2.8248683281e+01, 4.0603481859e-01, 8.3122150614e+00, 3.9707043193e+01, 4.9920556821e+00
8.4375000000e-02, 2.5364499223e+01, 2.8372702090e+01, 4.2163402578e-01, 8.6298548212e+00, 3.9664612197e+01, 4.9914330067e+00
8.7500000000e-02, 2.5391963433e+01, 2.8496584716e+01, 4.3723125043e-01, 8.9471870159e+00, 3.9619885918e+01, 4.9907868614e+00
9.0625000000e-02, 2.5420418805e+01, 2.8620323989e+01, 4.5282641922e-01, 9.2641951320e+00, 3.9572866628e+01, 4.9901172494e+00
9.3750000000e-02, 2.5449864298e+01, 2.8743912746e+01, 4.6841945880e-01, 9.5808626729e+00, 3.9523556717e+01, 4.9894241737e+00
9.6875000000e-02, 2.5480298824e+01, 2.8867343835e+01, 4.8401029587e-01, 9.8971731596e+00, 3.9471958693e+01, 4.9887076376e+00
1.0000000000e-01, 2.5511721241e+01, 2.8990610107e+01, 4.9959885710e-01, 1.0213110131e+01, 3.9418075182e+01, 4.9879676446e+00
1.0312500000e-01, 2.5544130356e+01, 2.9113704427e+01, 5.1518506921e-01, 1.0528657147e+01, 3.9361908929e+01, 4.9872041979e+00
1.0625000000e-01, 2.5577524925e+01, 2.9236619663e+01, 5.3076885891e-01, 1.0843797786e+01, 3.9303462799e+01, 4.9864173013e+00
1.0937500000e-01, 2.5611903652e+01, 2.9359348697e+01, 5.4635015292e-01, 1.1158515647e+01, 3.9242739773e+01, 4.9856069585e+00
1.1250000000e-01, 2.5647265191e+01, 2.9481884418e+01, 5.6192887798e-01, 1.1472794353e+01, 3.9179742950e+01, 4.9847731732e+00
1.1562500000e-01, 2.5683608142e+01, 2.9604219726e+01, 5.7750496084e-01, 1.1786617548e+01, 3.9114475548e+01, 4.9839159494e+00
1.1875000000e-01, 2.5720931059e+01, 2.9726347529e+01, 5.9307832826e-01, 1.2099968901e+01, 3.9046940901e+01, 4.9830352912e+00
1.2187500000e-01, 2.5759232440e+01, 2.9848260748e+01, 6.0864890700e-01, 1.2412832104e+01, 3.8977142462e+01, 4.9821312025e+00
1.2500000000e-01, 2.5798510734e+01, 2.9969952315e+01, 6.2421662387e-01, 1.2725190874e+01, 3.8905083801e+01, 4.9812036878e+00
1.2812500000e-01, 2.5838764340e+01, 3.0091415171e+01, 6.3978140566e-01, 1.3037028956e+01, 3.8830768604e+01, 4.9802527513e+00
1.3125000000e-01, 2.5879991606e+01, 3.0212642272e+01, 6.5534317917e-01, 1.3348330121e+01, 3.8754200675e+01, 4.9792783976e+00
1.3437500000e-01, 2.5922190827e+01, 3.0333626583e+01, 6.7090187125e-01, 1.3659078168e+01, 3.8675383933e+01, 4.9782806312e+00
1.3750000000e-01, 2.5965360251e+01, 3.0454361083e+01, 6.8645740874e-01, 1.3969256923e+01, 3.8594322417e+01, 4.9772594568e+00
1.4062500000e-01, 2.6009498073e+01, 3.0574838764e+01, 7.0200971848e-01, 1.4278850243e+01, 3.8511020279e+01, 4.9762148792e+00
1.4375000000e-01, 2.6054602439e+01, 3.0695052631e+01, 7.1755872736e-01, 1.4587842016e+01, 3.8425481789e+01, 4.9751469033e+00
1.4687500000e-01, 2.6100671442e+01, 3.0814995700e+01, 7.3310436226e-01, 1.4896216161e+01, 3.8337711330e+01, 4.9740555342e+00
1.5000000000e-01, 2.6147703130e+01, 3.0934661006e+01, 7.4864655008e-01, 1.5203956626e+01, 3.8247713404e+01, 4.9729407770e+00
1.5312500000e-01, 2.6195695495e+01, 3.1054041594e+01, 7.6418521776e-01, 1.5511047395e+01, 3.8155492627e+01, 4.9718026368e+00
1.5625000000e-01, 2.6244646482e+01, 3.1173130524e+01, 7.7972029221e-01, 1.5817472485e+01, 3.8061053731e+01, 4.9706411191e+00
