t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
1.5625000000e-03, 2.0000079347e+01, 3.9062404336e-02, 1.9999988245e+01, 1.0156352357e-01, 2.4999816325e+01, -1.5046477634e-02
3.1250000000e-03, 2.0000317385e+01, 7.8124234689e-02, 1.9999952980e+01, 2.0312572501e-01, 2.4999265302e+01, -3.0092937580e-02
4.6875000000e-03, 2.0000714113e+01, 1.1718491708e-01, 1.9999894205e+01, 3.0468528219e-01, 2.4998346939e+01, -4.5139362152e-02
6.2500000000e-03, 2.0001269525e+01, 1.5624387756e-01, 1.9999811919e+01, 4.0624087304e-01, 2.4997061248e+01, -6.0185733663e-02
7.8125000000e-03, 2.0001983613e+01, 1.9530054217e-01, 1.9999706124e+01, 5.0779117553e-01, 2.4995408244e+01, -7.5232034425e-02
9.3750000000e-03, 2.0002856369e+01, 2.3435433702e-01, 1.9999576819e+01, 6.0933486769e-01, 2.4993387950e+01, -9.0278246751e-02
1.0937500000e-02, 2.0003887780e+01, 2.7340468823e-01, 1.9999424005e+01, 7.1087062764e-01, 2.4991000391e+01, -1.0532435295e-01
1.2500000000e-02, 2.0005077835e+01, 3.1245102198e-01, 1.9999247681e+01, 8.1239713362e-01, 2.4988245599e+01, -1.2037033535e-01
1.4062500000e-02, 2.0006426516e+01, 3.5149276448e-01, 1.9999047847e+01, 9.1391306396e-01, 2.4985123609e+01, -1.3541617625e-01
1.5625000000e-02, 2.0007933807e+01, 3.9052934203e-01, 1.9998824505e+01, 1.0154170971e+00, 2.4981634462e+01, -1.5046185796e-01
1.7187500000e-02, 2.0009599687e+01, 4.2956018097e-01, 1.9998577654e+01, 1.1169079118e+00, 2.4977778203e+01, -1.6550736281e-01
1.8750000000e-02, 2.0011424136e+01, 4.6858470773e-01, 1.9998307295e+01, 1.2183841868e+00, 2.4973554882e+01, -1.8055267310e-01
2.0312500000e-02, 2.0013407130e+01, 5.0760234883e-01, 1.9998013427e+01, 1.3198446010e+00, 2.4968964553e+01, -1.9559777115e-01
2.1875000000e-02, 2.0015548642e+01, 5.4661253084e-01, 1.9997696052e+01, 1.4212878338e+00, 2.4964007276e+01, -2.1064263927e-01
2.3437500000e-02, 2.0017848645e+01, 5.8561468048e-01, 1.9997355169e+01, 1.5227125644e+00, 2.4958683115e+01, -2.2568725979e-01
2.5000000000e-02, 2.0020307108e+01, 6.2460822453e-01, 1.9996990779e+01, 1.6241174727e+00, 2.4952992139e+01, -2.4073161500e-01
2.6562500000e-02, 2.0022924001e+01, 6.6359258990e-01, 1.9996602883e+01, 1.7255012384e+00, 2.4946934422e+01, -2.5577568724e-01
2.8125000000e-02, 2.0025699288e+01, 7.0256720362e-01, 1.9996191480e+01, 1.8268625418e+00, 2.4940510042e+01, -2.7081945881e-01
2.9687500000e-02, 2.0028632934e+01, 7.4153149285e-01, 1.9995756572e+01, 1.9282000634e+00, 2.4933719083e+01, -2.8586291202e-01
3.1250000000e-02, 2.0031724900e+01, 7.8048488488e-01, 1.9995298159e+01, 2.0295124840e+00, 2.4926561632e+01, -3.0090602921e-01
3.2812500000e-02, 2.0034975147e+01, 8.1942680712e-01, 1.9994816241e+01, 2.1307984846e+00, 2.4919037782e+01, -3.1594879268e-01
3.4375000000e-02, 2.0038383631e+01, 8.5835668716e-01, 1.9994310819e+01, 2.2320567468e+00, 2.4911147630e+01, -3.3099118475e-01
3.5937500000e-02, 2.0041950309e+01, 8.9727395274e-01, 1.9993781894e+01, 2.3332859523e+00, 2.4902891280e+01, -3.4603318773e-01
3.7500000000e-02, 2.0045675134e+01, 9.3617803174e-01, 1.9993229466e+01, 2.4344847834e+00, 2.4894268837e+01, -3.6107478395e-01
3.9062500000e-02, 2.0049558057e+01, 9.7506835224e-01, 1.9992653535e+01, 2.5356519227e+00, 2.4885280413e+01, -3.7611595573e-01
4.0625000000e-02, 2.0053599029e+01, 1.0139443425e+00, 1.9992054104e+01, 2.6367860530e+00, 2.4875926125e+01, -3.9115668538e-01
4.2187500000e-02, 2.0057797996e+01, 1.0528054309e+00, 1.9991431171e+01, 2.7378858580e+00, 2.4866206094e+01, -4.0619695522e-01
4.3750000000e-02, 2.0062154903e+01, 1.0916510461e+00, 1.9990784738e+01, 2.8389500214e+00, 2.4856120445e+01, -4.2123674758e-01
4.5312500000e-02, 2.0066669695e+01, 1.1304806169e+00, 1.9990114806e+01, 2.9399772275e+00, 2.4845669310e+01, -4.3627604477e-01
4.6875000000e-02, 2.0071342312e+01, 1.1692935724e+00, 1.9989421376e+01, 3.0409661613e+00, 2.4834852824e+01, -4.5131482911e-01
4.8437500000e-02, 2.0076172694e+01, 1.2080893418e+00, 1.9988704448e+01, 3.1419155079e+00, 2.4823671126e+01, -4.6635308293e-01
5.0000000000e-02, 2.0081160777e+01, 1.2468673545e+00, 1.9987964023e+01, 3.2428239532e+00, 2.4812124362e+01, -4.8139078855e-01
5.1562500000e-02, 2.0086306497e+01, 1.2856270403e+00, 1.9987200102e+01, 3.3436901836e+00, 2.4800212681e+01, -4.9642792829e-01
5.3125000000e-02, 2.0091609786e+01, 1.3243678292e+00, 1.9986412686e+01, 3.4445128859e+00, 2.4787936238e+01, -5.1146448448e-01
5.4687500000e-02, 2.0097070576e+01, 1.3630891512e+00, 1.9985601776e+01, 3.5452907476e+00, 2.4775295191e+01, -5.2650043944e-01
5.6250000000e-02, 2.0102688796e+01, 1.4017904368e+00, 1.9984767372e+01, 3.6460224568e+00, 2.4762289704e+01, -5.4153577549e-01
5.7812500000e-02, 2.0108464372e+01, 1.4404711168e+00, 1.9983909477e+01, 3.7467067020e+00, 2.4748919945e+01, -5.5657047497e-01
5.9375000000e-02, 2.0114397229e+01, 1.4791306220e+00, 1.9983028090e+01, 3.8473421726e+00, 2.4735186088e+01, -5.7160452019e-01
6.0937500000e-02, 2.0120487290e+01, 1.5177683838e+00, 1.9982123213e+01, 3.9479275584e+00, 2.4721088311e+01, -5.8663789349e-01
6.2500000000e-02, 2.0126734476e+01, 1.5563838336e+00, 1.9981194847e+01, 4.0484615499e+00, 2.4706626796e+01, -6.0167057719e-01
6.4062500000e-02, 2.0133138705e+01, 1.5949764032e+00, 1.9980242993e+01, 4.1489428383e+00, 2.4691801730e+01, -6.1670255363e-01
6.5625000000e-02, 2.0139699894e+01, 1.6335455247e+00, 1.9979267652e+01, 4.2493701156e+00, 2.4676613306e+01, -6.3173380512e-01
6.7187500000e-02, 2.0146417958e+01, 1.6720906306e+00, 1.9978268825e+01, 4.3497420743e+00, 2.4661061720e+01, -6.4676431401e-01
6.8750000000e-02, 2.0153292808e+01, 1.7106111535e+00, 1.9977246514e+01, 4.4500574076e+00, 2.4645147173e+01, -6.6179406263e-01
7.0312500000e-02, 2.0160324357e+01, 1.7491065266e+00, 1.9976200719e+01, 4.5503148097e+00, 2.4628869872e+01, -6.7682303330e-01
7.1875000000e-02, 2.0167512511e+01, 1.7875761831e+00, 1.9975131442e+01, 4.6505129753e+00, 2.4612230027e+01, -6.9185120836e-01
7.3437500000e-02, 2.0174857178e+01, 1.8260195567e+00, 1.9974038684e+01, 4.7506505999e+00, 2.4595227854e+01, -7.0687857014e-01
7.5000000000e-02, 2.0182358262e+01, 1.8644360815e+00, 1.9972922447e+01, 4.8507263798e+00, 2.4577863574e+01, -7.2190510099e-01
7.6562500000e-02, 2.0190015665e+01, 1.9028251919e+00, 1.9971782731e+01, 4.9507390123e+00, 2.4560137410e+01, -7.3693078323e-01
7.8125000000e-02, 2.0197829288e+01, 1.9411863226e+00, 1.9970619539e+01, 5.0506871952e+00, 2.4542049593e+01, -7.5195559921e-01
7.9687500000e-02, 2.0205799029e+01, 1.9795189086e+00, 1.9969432871e+01, 5.1505696273e+00, 2.4523600357e+01, -7.6697953125e-01
8.1250000000e-02, 2.0213924783e+01, 2.0178223856e+00, 1.9968222728e+01, 5.2503850083e+00, 2.4504789940e+01, -7.8200256171e-01
8.2812500000e-02, 2.0222206446e+01, 2.0560961892e+00, 1.9966989113e+01, 5.3501320386e+00, 2.4485618587e+01, -7.9702467292e-01
8.4375000000e-02, 2.0230643910e+01, 2.0943397558e+00, 1.9965732027e+01, 5.4498094197e+00, 2.4466086545e+01, -8.1204584722e-01
8.5937500000e-02, 2.0239237064e+01, 2.1325525219e+00, 1.9964451470e+01, 5.5494158538e+00, 2.4446194068e+01, -8.2706606696e-01
8.7500000000e-02, 2.0247985796e+01, 2.1707339247e+00, 1.9963147446e+01, 5.6489500442e+00, 2.4425941414e+01, -8.4208531447e-01
8.9062500000e-02, 2.0256889994e+01, 2.2088834014e+00, 1.9961819954e+01, 5.7484106949e+00, 2.4405328843e+01, -8.5710357211e-01
