t, x, y, z, vx, vy, vz 
0, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
0.01, 2.0003229722e+01, 2.4984742509e-01, 1.9999619588e+01, 6.4581308526e-01, 2.4966989278e+01, -7.6082066921e-02
0.02, 2.0012913251e+01, 4.9929014422e-01, 1.9998477311e+01, 1.2907038748e+00, 2.4919062353e+01, -1.5237250036e-01
0.03, 2.0029039625e+01, 7.4817913007e-01, 1.9996571097e+01, 1.9343249158e+00, 2.4856247504e+01, -2.2886862723e-01
0.04, 2.0051594413e+01, 9.9636567773e-01, 1.9993898906e+01, 2.5763295279e+00, 2.4778580932e+01, -3.0556755822e-01
0.05, 2.0080559721e+01, 1.2437014838e+00, 1.9990458723e+01, 3.2163719910e+00, 2.4686106736e+01, -3.8246619421e-01
0.06, 2.0115914204e+01, 1.4900387253e+00, 1.9986248569e+01, 3.8541077314e+00, 2.4578876887e+01, -4.5956123291e-01
0.07, 2.0157633077e+01, 1.7352301382e+00, 1.9981266497e+01, 4.4891935071e+00, 2.4456951199e+01, -5.3684917565e-01
0.08, 2.0205688131e+01, 1.9791290956e+00, 1.9975510596e+01, 5.1212875926e+00, 2.4320397293e+01, -6.1432633439e-01
0.09, 2.0260047747e+01, 2.2215896857e+00, 1.9968978994e+01, 5.7500499618e+00, 2.4169290563e+01, -6.9198883880e-01
0.1, 2.0320676915e+01, 2.4624667894e+00, 1.9961669857e+01, 6.3751424699e+00, 2.4003714131e+01, -7.6983264353e-01
0.11, 2.0387537255e+01, 2.7016161572e+00, 1.9953581394e+01, 6.9962290343e+00, 2.3823758801e+01, -8.4785353539e-01
0.12, 2.0460587037e+01, 2.9388944860e+00, 1.9944711855e+01, 7.6129758134e+00, 2.3629523012e+01, -9.2604714072e-01
0.13, 2.0539781203e+01, 3.1741594949e+00, 1.9935059536e+01, 8.2250513847e+00, 2.3421112782e+01, -1.0044089327e+00
0.14, 2.0625071395e+01, 3.4072700008e+00, 1.9924622778e+01, 8.8321269208e+00, 2.3198641652e+01, -1.0829342386e+00
0.15, 2.0716405979e+01, 3.6380859934e+00, 1.9913399970e+01, 9.4338763637e+00, 2.2962230622e+01, -1.1616182471e+00
0.16, 2.0813730078e+01, 3.8664687096e+00, 1.9901389551e+01, 1.0029976598e+01, 2.2712008089e+01, -1.2404560154e+00
0.17, 2.0916985596e+01, 4.0922807067e+00, 1.9888590007e+01, 1.0620107620e+01, 2.2448109777e+01, -1.3194424766e+00
0.18, 2.1026111255e+01, 4.3153859358e+00, 1.9874999878e+01, 1.1203952710e+01, 2.2170678663e+01, -1.3985724463e+00
0.19, 2.1141042626e+01, 4.5356498136e+00, 1.9860617754e+01, 1.1781198598e+01, 2.1879864903e+01, -1.4778406299e+00
0.2, 2.1261712166e+01, 4.7529392939e+00, 1.9845442282e+01, 1.2351535626e+01, 2.1575825748e+01, -1.5572416293e+00
0.21, 2.1388049253e+01, 4.9671229382e+00, 1.9829472160e+01, 1.2914657914e+01, 2.1258725464e+01, -1.6367699492e+00
0.22, 2.1519980228e+01, 5.1780709855e+00, 1.9812706143e+01, 1.3470263522e+01, 2.0928735243e+01, -1.7164200043e+00
0.23, 2.1657428431e+01, 5.3856554206e+00, 1.9795143042e+01, 1.4018054603e+01, 2.0586033109e+01, -1.7961861250e+00
0.24, 2.1800314244e+01, 5.5897500427e+00, 1.9776781724e+01, 1.4557737568e+01, 2.0230803829e+01, -1.8760625637e+00
