eps, eps_squared
-1.3200000000e+00, 1.7424000000e+00
-1.4200000000e+00, 2.0164000000e+00
-1.3200000000e+00, 1.7424000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.3000000000e+00, 1.6900000000e+00
-1.2100000000e+00, 1.4641000000e+00
-1.1500000000e+00, 1.3225000000e+00
-1.0300000000e+00, 1.0609000000e+00
-1.0900000000e+00, 1.1881000000e+00
-1.1800000000e+00, 1.3924000000e+00
-1.2500000000e+00, 1.5625000000e+00
-1.2600000000e+00, 1.5876000000e+00
-1.2000000000e+00, 1.4400000000e+00
-1.2200000000e+00, 1.4884000000e+00
-1.2100000000e+00, 1.4641000000e+00
-1.1500000000e+00, 1.3225000000e+00
-1.1300000000e+00, 1.2769000000e+00
-1.1700000000e+00, 1.3689000000e+00
-1.2200000000e+00, 1.4884000000e+00
-1.2700000000e+00, 1.6129000000e+00
-1.2600000000e+00, 1.5876000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.3200000000e+00, 1.7424000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.2700000000e+00, 1.6129000000e+00
-1.1100000000e+00, 1.2321000000e+00
-1.2900000000e+00, 1.6641000000e+00
-1.2100000000e+00, 1.4641000000e+00
-1.2100000000e+00, 1.4641000000e+00
-1.0300000000e+00, 1.0609000000e+00
-1.1200000000e+00, 1.2544000000e+00
-1.0800000000e+00, 1.1664000000e+00
-1.3200000000e+00, 1.7424000000e+00
-1.3600000000e+00, 1.8496000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.4500000000e+00, 2.1025000000e+00
-1.4000000000e+00, 1.9600000000e+00
-1.3200000000e+00, 1.7424000000e+00
-1.3900000000e+00, 1.9321000000e+00
-1.3200000000e+00, 1.7424000000e+00
-1.2000000000e+00, 1.4400000000e+00
-1.3000000000e+00, 1.6900000000e+00
-1.2700000000e+00, 1.6129000000e+00
-1.0500000000e+00, 1.1025000000e+00
-1.1600000000e+00, 1.3456000000e+00
-1.3000000000e+00, 1.6900000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.4900000000e+00, 2.2201000000e+00
-1.5100000000e+00, 2.2801000000e+00
-1.4000000000e+00, 1.9600000000e+00
-1.2000000000e+00, 1.4400000000e+00
-1.2900000000e+00, 1.6641000000e+00
-1.3700000000e+00, 1.8769000000e+00
-1.3100000000e+00, 1.7161000000e+00
-1.3400000000e+00, 1.7956000000e+00
-1.4400000000e+00, 2.0736000000e+00
-1.6000000000e+00, 2.5600000000e+00
-1.5400000000e+00, 2.3716000000e+00
-1.4400000000e+00, 2.0736000000e+00
-1.4800000000e+00, 2.1904000000e+00
-1.4300000000e+00, 2.0449000000e+00
-1.4800000000e+00, 2.1904000000e+00
-1.4000000000e+00, 1.9600000000e+00
-1.4400000000e+00, 2.0736000000e+00
-1.5100000000e+00, 2.2801000000e+00
-1.5400000000e+00, 2.3716000000e+00
-1.4600000000e+00, 2.1316000000e+00
-1.4600000000e+00, 2.1316000000e+00
-1.3600000000e+00, 1.8496000000e+00
-1.4100000000e+00, 1.9881000000e+00
-1.4200000000e+00, 2.0164000000e+00
-1.4300000000e+00, 2.0449000000e+00
-1.2600000000e+00, 1.5876000000e+00
-1.2500000000e+00, 1.5625000000e+00
-1.3500000000e+00, 1.8225000000e+00
-1.3800000000e+00, 1.9044000000e+00
-1.4100000000e+00, 1.9881000000e+00
-1.4500000000e+00, 2.1025000000e+00
