step, E, E2, absM, M2
1000, -7.9520000000e+00, 6.3616000000e+01, 3.9840000000e+00, 1.5920000000e+01
2000, -7.9760000000e+00, 6.3808000000e+01, 3.9920000000e+00, 1.5960000000e+01
3000, -7.9680000000e+00, 6.3744000000e+01, 3.9880000000e+00, 1.5944000000e+01
4000, -7.9680000000e+00, 6.3744000000e+01, 3.9885000000e+00, 1.5945000000e+01
5000, -7.9744000000e+00, 6.3795200000e+01, 3.9908000000e+00, 1.5956000000e+01
6000, -7.9760000000e+00, 6.3808000000e+01, 3.9916666667e+00, 1.5959333333e+01
7000, -7.9794285714e+00, 6.3835428571e+01, 3.9928571429e+00, 1.5965142857e+01
8000, -7.9800000000e+00, 6.3840000000e+01, 3.9932500000e+00, 1.5966500000e+01
9000, -7.9822222222e+00, 6.3857777778e+01, 3.9940000000e+00, 1.5970222222e+01
10000, -7.9840000000e+00, 6.3872000000e+01, 3.9946000000e+00, 1.5973200000e+01
11000, -7.9847272727e+00, 6.3877818182e+01, 3.9949090909e+00, 1.5974545455e+01
12000, -7.9840000000e+00, 6.3872000000e+01, 3.9946666667e+00, 1.5973333333e+01
13000, -7.9833846154e+00, 6.3867076923e+01, 3.9944615385e+00, 1.5972307692e+01
14000, -7.9840000000e+00, 6.3872000000e+01, 3.9945714286e+00, 1.5973142857e+01
15000, -7.9829333333e+00, 6.3863466667e+01, 3.9942666667e+00, 1.5971466667e+01
16000, -7.9840000000e+00, 6.3872000000e+01, 3.9946250000e+00, 1.5973250000e+01
17000, -7.9849411765e+00, 6.3879529412e+01, 3.9949411765e+00, 1.5974823529e+01
18000, -7.9844444444e+00, 6.3875555556e+01, 3.9948888889e+00, 1.5974222222e+01
19000, -7.9848421053e+00, 6.3878736842e+01, 3.9950526316e+00, 1.5974947368e+01
20000, -7.9856000000e+00, 6.3884800000e+01, 3.9953000000e+00, 1.5976200000e+01
21000, -7.9836190476e+00, 6.3868952381e+01, 3.9945714286e+00, 1.5972761905e+01
22000, -7.9836363636e+00, 6.3869090909e+01, 3.9945454545e+00, 1.5972727273e+01
23000, -7.9833043478e+00, 6.3866434783e+01, 3.9944347826e+00, 1.5972173913e+01
24000, -7.9840000000e+00, 6.3872000000e+01, 3.9946666667e+00, 1.5973333333e+01
25000, -7.9846400000e+00, 6.3877120000e+01, 3.9948800000e+00, 1.5974400000e+01
26000, -7.9849230769e+00, 6.3879384615e+01, 3.9950000000e+00, 1.5974923077e+01
27000, -7.9851851852e+00, 6.3881481481e+01, 3.9951111111e+00, 1.5975407407e+01
28000, -7.9845714286e+00, 6.3876571429e+01, 3.9950000000e+00, 1.5974571429e+01
29000, -7.9848275862e+00, 6.3878620690e+01, 3.9950344828e+00, 1.5974896552e+01
30000, -7.9853333333e+00, 6.3882666667e+01, 3.9952000000e+00, 1.5975733333e+01
31000, -7.9850322581e+00, 6.3880258065e+01, 3.9950967742e+00, 1.5975225806e+01
32000, -7.9855000000e+00, 6.3884000000e+01, 3.9952500000e+00, 1.5976000000e+01
33000, -7.9849696970e+00, 6.3879757576e+01, 3.9949696970e+00, 1.5974909091e+01
34000, -7.9847058824e+00, 6.3877647059e+01, 3.9949411765e+00, 1.5974588235e+01
35000, -7.9851428571e+00, 6.3881142857e+01, 3.9950857143e+00, 1.5975314286e+01
36000, -7.9848888889e+00, 6.3879111111e+01, 3.9950555556e+00, 1.5975000000e+01
37000, -7.9844324324e+00, 6.3875459459e+01, 3.9949729730e+00, 1.5974378378e+01
38000, -7.9844210526e+00, 6.3875368421e+01, 3.9950000000e+00, 1.5974421053e+01
39000, -7.9842051282e+00, 6.3873641026e+01, 3.9949743590e+00, 1.5974153846e+01
40000, -7.9842000000e+00, 6.3873600000e+01, 3.9949500000e+00, 1.5974100000e+01
41000, -7.9845853659e+00, 6.3876682927e+01, 3.9950731707e+00, 1.5974731707e+01
42000, -7.9843809524e+00, 6.3875047619e+01, 3.9950476190e+00, 1.5974476190e+01
43000, -7.9847441860e+00, 6.3877953488e+01, 3.9951627907e+00, 1.5975069767e+01
44000, -7.9850909091e+00, 6.3880727273e+01, 3.9952727273e+00, 1.5975636364e+01
45000, -7.9854222222e+00, 6.3883377778e+01, 3.9953777778e+00, 1.5976177778e+01
46000, -7.9857391304e+00, 6.3885913043e+01, 3.9954782609e+00, 1.5976695652e+01
47000, -7.9855319149e+00, 6.3884255319e+01, 3.9954042553e+00, 1.5976340426e+01
48000, -7.9856666667e+00, 6.3885333333e+01, 3.9954583333e+00, 1.5976583333e+01
49000, -7.9859591837e+00, 6.3887673469e+01, 3.9955510204e+00, 1.5977061224e+01
50000, -7.9860800000e+00, 6.3888640000e+01, 3.9955600000e+00, 1.5977200000e+01
51000, -7.9858823529e+00, 6.3887058824e+01, 3.9955294118e+00, 1.5976941176e+01
52000, -7.9856923077e+00, 6.3885538462e+01, 3.9954230769e+00, 1.5976538462e+01
53000, -7.9858113208e+00, 6.3886490566e+01, 3.9954716981e+00, 1.5976754717e+01
54000, -7.9860740741e+00, 6.3888592593e+01, 3.9955555556e+00, 1.5977185185e+01
55000, -7.9860363636e+00, 6.3888290909e+01, 3.9955636364e+00, 1.5977163636e+01
56000, -7.9862857143e+00, 6.3890285714e+01, 3.9956428571e+00, 1.5977571429e+01
