eps, eps_squared
-1.9970000000e+00, 1.5952272000e+03
-1.9963000000e+00, 1.5941172000e+03
-1.9968000000e+00, 1.5949088000e+03
-1.9975000000e+00, 1.5960212000e+03
-1.9954000000e+00, 1.5926800000e+03
-1.9982000000e+00, 1.5971344000e+03
-1.9951000000e+00, 1.5922036000e+03
-1.9970000000e+00, 1.5952272000e+03
-1.9956000000e+00, 1.5929976000e+03
-1.9985000000e+00, 1.5976132000e+03
-1.9977000000e+00, 1.5963396000e+03
-1.9972000000e+00, 1.5955424000e+03
-1.9961000000e+00, 1.5937988000e+03
-1.9969000000e+00, 1.5950804000e+03
-1.9964000000e+00, 1.5942816000e+03
-1.9970000000e+00, 1.5952336000e+03
-1.9968000000e+00, 1.5949184000e+03
-1.9931000000e+00, 1.5890476000e+03
-1.9961000000e+00, 1.5937924000e+03
-1.9971000000e+00, 1.5953844000e+03
-1.9976000000e+00, 1.5961792000e+03
-1.9972000000e+00, 1.5955424000e+03
-1.9980000000e+00, 1.5968160000e+03
-1.9968000000e+00, 1.5949184000e+03
-1.9982000000e+00, 1.5971376000e+03
-1.9975000000e+00, 1.5960212000e+03
-1.9966000000e+00, 1.5945968000e+03
-1.9979000000e+00, 1.5966580000e+03
-1.9980000000e+00, 1.5968160000e+03
-1.9970000000e+00, 1.5952240000e+03
-1.9976000000e+00, 1.5961856000e+03
-1.9980000000e+00, 1.5968192000e+03
-1.9966000000e+00, 1.5945936000e+03
-1.9962000000e+00, 1.5939504000e+03
-1.9974000000e+00, 1.5958608000e+03
-1.9986000000e+00, 1.5977744000e+03
-1.9975000000e+00, 1.5960260000e+03
-1.9977000000e+00, 1.5963396000e+03
-1.9974000000e+00, 1.5958640000e+03
-1.9984000000e+00, 1.5974528000e+03
-1.9974000000e+00, 1.5958608000e+03
-1.9992000000e+00, 1.5987264000e+03
-1.9953000000e+00, 1.5925284000e+03
-1.9970000000e+00, 1.5952376000e+03
-1.9960000000e+00, 1.5936384000e+03
-1.9952000000e+00, 1.5923616000e+03
-1.9978000000e+00, 1.5964976000e+03
-1.9966000000e+00, 1.5945928000e+03
-1.9982000000e+00, 1.5971344000e+03
-1.9984000000e+00, 1.5974560000e+03
