eps, eps_squared
-1.2361000000e+00, 6.1512360000e+02
-1.1284000000e+00, 5.1445280000e+02
-1.1530000000e+00, 5.3738160000e+02
-1.1763000000e+00, 5.5617240000e+02
-1.3502000000e+00, 7.3775840000e+02
-1.1960000000e+00, 5.7898080000e+02
-1.2152000000e+00, 5.9494960000e+02
-1.1570000000e+00, 5.3901440000e+02
-1.1817000000e+00, 5.6187320000e+02
-1.1754000000e+00, 5.5625600000e+02
-1.2160000000e+00, 5.9625040000e+02
-1.3574000000e+00, 7.4363120000e+02
-1.2842000000e+00, 6.6340640000e+02
-1.3338000000e+00, 7.1612880000e+02
-1.2517000000e+00, 6.3028600000e+02
-1.2217000000e+00, 6.0288520000e+02
-1.1741000000e+00, 5.5582680000e+02
-1.2001000000e+00, 5.7946200000e+02
-1.2390000000e+00, 6.2574320000e+02
-1.2239000000e+00, 6.0536360000e+02
-1.2196000000e+00, 6.0072240000e+02
-1.2696000000e+00, 6.5671360000e+02
-1.1556000000e+00, 5.3856480000e+02
-1.2333000000e+00, 6.1331800000e+02
-1.2879000000e+00, 6.7139480000e+02
-1.4362000000e+00, 8.2996160000e+02
-1.1934000000e+00, 5.7786800000e+02
-1.1988000000e+00, 5.7993200000e+02
-1.3069000000e+00, 6.8823720000e+02
-1.3489000000e+00, 7.3295960000e+02
-1.1674000000e+00, 5.5427360000e+02
-1.1250000000e+00, 5.0890720000e+02
-1.2628000000e+00, 6.4555280000e+02
-1.2701000000e+00, 6.5082280000e+02
-1.3875000000e+00, 7.7370760000e+02
-1.3064000000e+00, 6.9030880000e+02
-1.2248000000e+00, 6.0551920000e+02
-1.2102000000e+00, 5.9685520000e+02
-1.1221000000e+00, 5.0713080000e+02
-1.2496000000e+00, 6.2913840000e+02
-1.1938000000e+00, 5.7590880000e+02
-1.1352000000e+00, 5.2152240000e+02
-1.3542000000e+00, 7.4367760000e+02
-1.2970000000e+00, 6.7953840000e+02
-1.1353000000e+00, 5.1883640000e+02
-1.1188000000e+00, 5.0481360000e+02
-1.1485000000e+00, 5.3157400000e+02
-1.1774000000e+00, 5.5947520000e+02
-1.2712000000e+00, 6.4885280000e+02
-1.2442000000e+00, 6.2804960000e+02
-1.1807000000e+00, 5.6020680000e+02
-1.3100000000e+00, 6.9319280000e+02
-1.2334000000e+00, 6.1262080000e+02
-1.4023000000e+00, 7.9816760000e+02
-1.2330000000e+00, 6.1548720000e+02
-1.2865000000e+00, 6.7313320000e+02
-1.2862000000e+00, 6.6630480000e+02
-1.2275000000e+00, 6.0704360000e+02
